Return Path
Start at ID: 480476970
Go Northeast 42.5964 meters, to 480476967
Go Northeast 23.2511 meters, to 480476966
Go Northeast 9.36308 meters, to 480476965
Go Northwest 80.856 meters, to 480476991
Go North 87.6386 meters, to 480476993
Go Northwest 19.0961 meters, to 480476955
Go Northwest 44.2431 meters, to 480476994
Go Northwest 7.60478 meters, to 848504881
Go Southwest 57.7738 meters, to 848504882
Go Southwest 38.2798 meters, to 1104140049
Go West 15.4733 meters, to 90380349
Go West 32.742 meters, to 480482958
Go West 8.41643 meters, to 314553872
Go West 28.4385 meters, to 480482966
Go West 58.2968 meters, to 90380350
Go Southwest 15.6042 meters, to 311887526
Go Southwest 38.7276 meters, to 111443919
Go West 29.0537 meters, to 111443920
Go West 91.0756 meters, to 90380816
Go West 58.686 meters, to 122528341
Go Southwest 32.815 meters, to 122528343
Go South 25.0071 meters, to 122528346
Go South 46.436 meters, to 122528348
Go Southwest 46.4544 meters, to 122528349
Go Southwest 53.8705 meters, to 122528351
Go Northeast 53.8705 meters, to 122528349
Go Northeast 46.4544 meters, to 122528348
Go East 17.6199 meters, to 480482924
Go East 33.9095 meters, to 480482923
Go East 49.2402 meters, to 480482922
Go East 10.4639 meters, to 480482932
Go South 38.1053 meters, to 480482933
Go North 38.1053 meters, to 480482932
Go East 18.1465 meters, to 480482921
Go South 30.9678 meters, to 428208842
Go South 43.6146 meters, to 428208841
Go South 37.8853 meters, to 428208840
Go South 14.8605 meters, to 428215654
Go West 9.1319 meters, to 428215655
Go West 22.3042 meters, to 428215656
Go West 17.0903 meters, to 428215657
Go Southwest 40.136 meters, to 428215658
Go Southwest 5.99363 meters, to 428215648
Go Southwest 8.49409 meters, to 428215638
Go South 4.6549 meters, to 480494925
Go Northwest 16.1206 meters, to 480493303
Go Southwest 12.5906 meters, to 480493301
Go Southeast 2.76119 meters, to 480493290
Go South 10.2269 meters, to 480493291
Go Southwest 2.34693 meters, to 480493292
Go West 8.89855 meters, to 480493294
Go Northwest 2.53773 meters, to 480493295
Go Southeast 2.53773 meters, to 480493294
Go Southwest 10.8434 meters, to 480493300
