Return Path
Start at ID: 122528351
Go Southeast 11.353 meters, to 428215709
Go Southeast 27.9958 meters, to 480494928
Go Southeast 11.9263 meters, to 428215639
Go Southeast 32.4696 meters, to 480493303
Go Southwest 12.5906 meters, to 480493301
Go Southeast 2.76119 meters, to 480493290
Go South 10.2269 meters, to 480493291
Go Southwest 2.34693 meters, to 480493292
Go West 8.89855 meters, to 480493294
Go Southwest 10.8434 meters, to 480493300
Go Southeast 15.333 meters, to 428215652
Go East 9.53769 meters, to 428215651
Go Southwest 20.6104 meters, to 428215653
Go East 26.6339 meters, to 1104140051
Go Southeast 15.3379 meters, to 311888927
Go Southeast 71.3297 meters, to 412753749
Go Southeast 74.8984 meters, to 311888928
Go South 59.4576 meters, to 480496458
Go South 98.7797 meters, to 311888929
Go Southeast 42.9715 meters, to 311887112
Go Southeast 41.5149 meters, to 90379616
Go South 42.6044 meters, to 90379615
Go South 11.0535 meters, to 90379614
Go Southeast 11.0548 meters, to 848507147
Go Southeast 6.61177 meters, to 128664377
Go Southeast 17.4375 meters, to 428214870
Go East 9.82572 meters, to 90379613
Go East 29.0578 meters, to 122586155
Go Northeast 14.6861 meters, to 314042698
Go Southeast 57.4916 meters, to 428214872
Go Southeast 108.402 meters, to 314047258
Go Southwest 162.011 meters, to 314047355
Go West 14.8425 meters, to 314047357
Go Southwest 174.3 meters, to 312403297
Go South 45.5875 meters, to 497176044
Go South 62.005 meters, to 497176042
Go South 34.3509 meters, to 497176041
Go South 12.8746 meters, to 497176047
Go Southwest 85.3096 meters, to 312403078
Go Southeast 103.629 meters, to 495503865
Go Southeast 30.2774 meters, to 848506925
Go Southeast 103.316 meters, to 311887235
Go Southwest 32.4383 meters, to 311887298
Go Southwest 85.5952 meters, to 312402725
Go South 127.713 meters, to 312402722
Go Southeast 73.1965 meters, to 312402720
Go South 10.5608 meters, to 497191395
Go South 97.3924 meters, to 497191379
Go South 13.1171 meters, to 1264279389
Go East 41.3381 meters, to 1264279493
Go Southwest 7.44816 meters, to 1264279482
Go South 7.24825 meters, to 1264279403
Go South 6.00418 meters, to 1264279502
Go South 87.7945 meters, to 497317073
Go South 40.8116 meters, to 497311112
Go East 55.1391 meters, to 497311278
Go East 46.8134 meters, to 497310736
Go East 48.6358 meters, to 497310684
Go East 42.1963 meters, to 497311142
Go East 6.64021 meters, to 497310618
Go Southeast 54.543 meters, to 497311160
Go Southeast 17.1636 meters, to 497311177
Go Southeast 37.186 meters, to 497310577
Go Southeast 74.7041 meters, to 497311197
Go Northeast 61.1654 meters, to 428217642
Go Northeast 94.9456 meters, to 497317099
Go Northeast 33.7898 meters, to 497320546
Go Southeast 181.903 meters, to 497320557
Go Southeast 107.644 meters, to 497320559
