Path
Start at ID: 312402720
Go Northwest 73.1965 meters, to 312402722
Go North 127.713 meters, to 312402725
Go Northeast 85.5952 meters, to 311887298
Go Northeast 32.4383 meters, to 311887235
Go Northeast 62.0661 meters, to 311887236
Go Northeast 10.0015 meters, to 1249809185
Go East 16.1169 meters, to 1249809158
Go East 11.7581 meters, to 1249809167
Go West 11.7581 meters, to 1249809158
Go West 16.1169 meters, to 1249809185
Go Southwest 10.0015 meters, to 311887236
Go Southwest 62.0661 meters, to 311887235
Go Northwest 103.316 meters, to 848506925
Go Northwest 30.2774 meters, to 495503865
Go Northwest 103.629 meters, to 312403078
Go Northeast 85.3096 meters, to 497176047
Go North 12.8746 meters, to 497176041
Go North 34.3509 meters, to 497176042
Go North 62.005 meters, to 497176044
Go North 45.5875 meters, to 312403297
Go Northeast 174.3 meters, to 314047357
Go East 14.8425 meters, to 314047355
Go East 21.9613 meters, to 314047582
Go East 32.8315 meters, to 314047583
Go East 31.4253 meters, to 314047584
Go East 39.7031 meters, to 314047586
Go East 35.3068 meters, to 314048124
Go Northeast 102.81 meters, to 314048155
Go Northwest 31.6259 meters, to 492280365
Go Northeast 19.9302 meters, to 492280362
Go Northeast 35.1617 meters, to 492280359
Go Northeast 21.9098 meters, to 492280368
Go Northeast 39.1651 meters, to 492269069
Go Northwest 151.493 meters, to 492269070
Go Northwest 66.8597 meters, to 1104140056
Go Northwest 28.433 meters, to 492269071
Go Northwest 17.2686 meters, to 1104140052
Go West 13.2415 meters, to 492269072
Go West 17.8925 meters, to 493669366
Go Northwest 10.5528 meters, to 493669371
Go Northwest 7.23635 meters, to 493669374
Go North 4.5111 meters, to 493669379
Go North 19.3392 meters, to 493669384
Go Northeast 174.671 meters, to 480486064
Go Northeast 50.6693 meters, to 314074321
Go Northeast 33.7714 meters, to 428215775
Go Northeast 10.4272 meters, to 128668316
Go Northeast 50.7398 meters, to 314074258
Go Northeast 76.5582 meters, to 314553861
Go Northwest 8.91169 meters, to 480476985
Go Northeast 29.4291 meters, to 480476983
Go Northeast 22.8134 meters, to 480476982
Go Northeast 33.3131 meters, to 480323961
Go North 7.45445 meters, to 1104146354
Go North 28.8093 meters, to 480323957
Go North 22.0473 meters, to 480319118
Go Northwest 25.4883 meters, to 480476972
Go West 26.625 meters, to 480476974
Go West 37.6712 meters, to 480476975
Go West 25.3583 meters, to 480476976
Go West 31.2383 meters, to 480476977
Go West 22.5686 meters, to 480476978
Go West 19.7759 meters, to 480476967
Go Southwest 42.5964 meters, to 480476970
Go Northeast 42.5964 meters, to 480476967
Go Northeast 23.2511 meters, to 480476966
Go Northeast 9.36308 meters, to 480476965
Go Northwest 80.856 meters, to 480476991
Go North 87.6386 meters, to 480476993
Go Northwest 19.0961 meters, to 480476955
Go Northwest 44.2431 meters, to 480476994
Go Northwest 7.60478 meters, to 848504881
Go Southwest 57.7738 meters, to 848504882
Go Southwest 38.2798 meters, to 1104140049
Go West 15.4733 meters, to 90380349
